Time       |       P1 |       P2 |       P3 |       P4
-------------------------------------------------------
12:23:11   |       -- |       -- |       -- |       --
12:23:16   |  122.0°F |   77.0°F |       -- |       --
12:23:21   |  122.0°F |   77.0°F |       -- |       --
12:23:26   |  122.0°F |   77.0°F |       -- |       --
12:23:32   |  122.0°F |   77.0°F |       -- |       --
12:23:37   |  122.0°F |   77.0°F |       -- |       --
12:23:42   |  122.0°F |   77.0°F |       -- |       --
12:23:47   |  122.0°F |   77.0°F |       -- |       --
12:23:52   |  122.0°F |   77.0°F |       -- |       --
12:23:57   |  122.0°F |   77.0°F |       -- |       --
