Time,P1,P2,P3,P4
12:37:09,--,--,--,--
12:37:14,--,--,--,--
12:37:19,--,--,77.0°F,87.8°F
12:37:24,107.6°F,77.0°F,77.0°F,87.8°F
12:37:29,107.6°F,77.0°F,77.0°F,87.8°F
12:37:34,107.6°F,77.0°F,77.0°F,87.8°F
12:37:39,107.6°F,77.0°F,77.0°F,87.8°F
12:37:44,107.6°F,77.0°F,77.0°F,87.8°F
12:37:49,107.6°F,77.0°F,77.0°F,87.8°F
12:37:54,107.6°F,77.0°F,77.0°F,87.8°F
12:37:59,107.6°F,77.0°F,77.0°F,87.8°F
12:38:04,107.6°F,77.0°F,77.0°F,87.8°F
12:38:09,107.6°F,77.0°F,77.0°F,87.8°F
12:38:14,107.6°F,77.0°F,77.0°F,87.8°F
12:38:19,107.6°F,77.0°F,77.0°F,87.8°F
12:38:24,107.6°F,77.0°F,77.0°F,87.8°F
12:38:29,107.6°F,77.0°F,77.0°F,87.8°F
12:38:34,107.6°F,77.0°F,77.0°F,87.8°F
12:38:39,107.6°F,77.0°F,77.0°F,87.8°F
12:38:44,107.6°F,77.0°F,77.0°F,87.8°F
12:38:49,107.6°F,77.0°F,77.0°F,87.8°F
12:38:54,107.6°F,77.0°F,77.0°F,87.8°F
12:38:59,107.6°F,77.0°F,77.0°F,87.8°F
12:39:04,107.6°F,77.0°F,77.0°F,87.8°F
